word,female_articles,male_articles
she,87,22
her,83,21
hers,2,0
he,7,86
his,11,85
him,5,48
woman,18,2
women,31,3
female,14,1
male,2,1
wife,3,32
husband,14,3
mother,20,37
father,17,39
daughter,13,19
son,7,26
married,19,43
