name,gender,text
Albert_Einstein,male,"Albert Einstein was a German-born theoretical physicist best known for developing the theory of relativity. Einstein also made important contributions to quantum theory. His mass–energy equivalence formula E = mc2, which arises from special relativity, has been called ""the world's most famous equation"". He received the 1921 Nobel Prize in Physics for ""his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect""."
Isaac_Newton,male,"Sir Isaac Newton was an English polymath who was a mathematician, physicist, astronomer, alchemist, theologian, author and inventor. He was a key figure in the Scientific Revolution and the Enlightenment that followed. His book Philosophiæ Naturalis Principia Mathematica, first published in 1687, achieved the first great unification in physics and established classical mechanics. Newton also made seminal contributions to optics, and shares credit with the German mathematician Gottfried Wilhelm Leibniz for formulating infinitesimal calculus, although he developed calculus years before Leibniz. Newton contributed to and refined the scientific method, and his work is considered the most influential in bringing forth modern science."
Nikola_Tesla,male,"Nikola Tesla was a Serbian-American engineer, futurist, and inventor. He is known for his contributions to the design of the modern alternating current (AC) electricity supply system."
Marie_Curie,female,"Maria Salomea Skłodowska Curie, better known as Marie Curie, was a Polish and naturalised-French physicist and chemist. She shared the 1903 Nobel Prize in Physics with her husband Pierre Curie ""for their joint researches on the radioactivity phenomena discovered by Professor Henri Becquerel"". She won the 1911 Nobel Prize in Chemistry ""[for] the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""."
Ada_Lovelace,female,"Augusta Ada King, Countess of Lovelace, also known as Ada Lovelace, was an English mathematician and writer chiefly known for work on Charles Babbage's proposed mechanical general-purpose computer, the analytical engine. She was the first to recognise the machine had applications beyond pure calculation. Lovelace is often considered the first computer programmer."
Rosalind_Franklin,female,"Rosalind Elsie Franklin was an English chemist and X-ray crystallographer. Her work was central to the understanding of the molecular structures of DNA, RNA, viruses, coal, and graphite. Although her works on coal and viruses were appreciated in her lifetime, Franklin's contributions to the discovery of the structure of DNA were largely unrecognised during her life, for which Franklin has been variously referred to as the ""wronged heroine"", the ""dark lady of DNA"", the ""forgotten heroine"", a ""feminist icon"", and the ""Sylvia Plath of molecular biology"". James Watson believed that, had she not died, Franklin would have been awarded a Nobel Prize in Chemistry."
